,datetime_of_scrape,start_date,end_date,length_of_stay,itinerary,price,duration_there,duration_back,total_duration,n_stops_there,n_stops_back,total_stops,airline_there,airline_back,agency
0,2023-08-06 1819,2023-10-01,2023-10-12,11,13542-2310011055--31734-1-10957-2310020440|10957-2310120620--31734-1-13542-2310121610,758.17,13.25,14.333333333333334,27.583333333333336,1,1,2,Turkish Airlines,Turkish Airlines,Turkish Airlines
2,2023-08-06 1819,2023-10-01,2023-10-12,11,13542-2310011700--31734-1-10957-2310030440|10957-2310120620--31734-1-13542-2310121610,643.17,31.166666666666668,14.333333333333334,45.5,1,1,2,Turkish Airlines,Turkish Airlines,Turkish Airlines
1,2023-08-06 1819,2023-10-01,2023-10-12,11,13542-2310011430--31734-1-10957-2310030440|10957-2310120620--31734-1-13542-2310121610,693.17,33.666666666666664,14.333333333333334,48.0,1,1,2,Turkish Airlines,Turkish Airlines,Turkish Airlines
215,2023-08-06 1819,2023-10-01,2023-10-16,15,13542-2310012140--32672-0-9601-2310021015|9601-2310161320--32672-0-13542-2310161755,968.67,8.083333333333334,9.083333333333334,17.166666666666668,0,0,0,Air India,Air India,Fly Sharp
214,2023-08-06 1819,2023-10-01,2023-10-16,15,"13542-2310012140--32672-0-9601-2310021015|9601-2310160915--31826,-32348-1-13542-2310161945",2096.598,8.083333333333334,15.0,23.083333333333336,0,1,1,Air India,Air India,Booking.com
212,2023-08-06 1819,2023-10-01,2023-10-16,15,13542-2310012140--32672-0-9601-2310021015|9601-2310160335--31939-1-13542-2310170620,1397.7,8.083333333333334,31.25,39.333333333333336,0,1,1,Air India,Air India,Trip.com
211,2023-08-06 1819,2023-10-01,2023-10-16,15,"13542-2310012140--32672-0-9601-2310021015|9601-2310160335--31939,-32222-2-13542-2310162000",1900.398,8.083333333333334,20.916666666666668,29.0,0,2,2,Air India,Air India,Booking.com
216,2023-08-06 1819,2023-10-01,2023-10-16,15,"13542-2310012140--32672-0-9601-2310021015|9601-2310162310--32672,-31734-2-13542-2310171610",1413.398,8.083333333333334,21.5,29.583333333333336,0,2,2,Air India,Air India,Mytrip
218,2023-08-06 1819,2023-10-01,2023-10-16,15,13542-2310012140--32672-0-9601-2310021015|9601-2310162310--32672-2-13542-2310171815,1069.992,8.083333333333334,23.583333333333332,31.666666666666664,0,2,2,Air India,Air India,SkyWings
213,2023-08-06 1819,2023-10-01,2023-10-16,15,"13542-2310012140--32672-0-9601-2310021015|9601-2310160645--32672,-32090-2-13542-2310171005",1199.138,8.083333333333334,31.833333333333332,39.916666666666664,0,2,2,Air India,Air India,travelup
217,2023-08-06 1819,2023-10-01,2023-10-16,15,"13542-2310012140--32672-0-9601-2310021015|9601-2310162310--32672,-31734-2-13542-2310181000",1382.598,8.083333333333334,39.333333333333336,47.41666666666667,0,2,2,Air India,Air India,Booking.com
39,2023-08-06 1819,2023-10-01,2023-10-16,15,13542-2310010900--31939-1-9601-2310020205|9601-2310161320--32672-0-13542-2310161755,1203.798,12.583333333333334,9.083333333333334,21.666666666666668,1,0,1,Qatar Airways,Qatar Airways,GotoGate
155,2023-08-06 1819,2023-10-01,2023-10-16,15,"13542-2310011435--32348,-31826-1-9601-2310020815|9601-2310161320--32672-0-13542-2310161755",1463.198,13.166666666666666,9.083333333333334,22.25,1,0,1,Emirates,SpiceJet,GotoGate
111,2023-08-06 1819,2023-10-01,2023-10-16,15,13542-2310011405--31939-1-9601-2310030205|9601-2310161320--32672-0-13542-2310161755,824.926,31.5,9.083333333333334,40.583333333333336,1,0,1,British Airways,Qatar Airways,lastminute.com
247,2023-08-06 1819,2023-10-01,2023-10-16,15,13542-2310010900--31939-1-10957-2310020155|10957-2310160415--32348-1-13542-2310161235,721.764,12.416666666666666,12.833333333333334,25.25,1,1,2,Qatar Airways,Qatar Airways,eDreams
252,2023-08-06 1819,2023-10-01,2023-10-16,15,13542-2310010900--31939-1-10957-2310020155|10957-2310162210--31939-1-13542-2310170645,655.07,12.416666666666666,13.083333333333334,25.5,1,1,2,Qatar Airways,Qatar Airways,Fly Sharp
249,2023-08-06 1819,2023-10-01,2023-10-16,15,13542-2310010900--31939-1-10957-2310020155|10957-2310161100--32348-1-13542-2310161945,721.764,12.416666666666666,13.25,25.666666666666664,1,1,2,Qatar Airways,Qatar Airways,eDreams
251,2023-08-06 1819,2023-10-01,2023-10-16,15,13542-2310010900--31939-1-10957-2310020155|10957-2310162150--32348-1-13542-2310170720,721.764,12.416666666666666,14.0,26.416666666666664,1,1,2,Qatar Airways,Qatar Airways,eDreams
246,2023-08-06 1819,2023-10-01,2023-10-16,15,13542-2310010900--31939-1-10957-2310020155|10957-2310160250--32090-1-13542-2310161700,682.986,12.416666666666666,18.666666666666668,31.083333333333336,1,1,2,Qatar Airways,Qatar Airways,eDreams
248,2023-08-06 1819,2023-10-01,2023-10-16,15,13542-2310010900--31939-1-10957-2310020155|10957-2310161035--31939-1-13542-2310170645,595.27,12.416666666666666,24.666666666666668,37.083333333333336,1,1,2,Qatar Airways,Qatar Airways,Carlton Leisure
250,2023-08-06 1819,2023-10-01,2023-10-16,15,13542-2310010900--31939-1-10957-2310020155|10957-2310161935--32672-1-13542-2310171815,1036.3,12.416666666666666,27.166666666666668,39.583333333333336,1,1,2,Qatar Airways,Qatar Airways,Trip.com
273,2023-08-06 1819,2023-10-01,2023-10-16,15,13542-2310012145--32348-1-10957-2310021445|10957-2310160415--32348-1-13542-2310161235,662.212,12.5,12.833333333333334,25.333333333333336,1,1,2,Emirates,Emirates,Lycafly
256,2023-08-06 1819,2023-10-01,2023-10-16,15,13542-2310010900--31939-1-10957-2310020200|10957-2310162210--31939-1-13542-2310170645,610.07,12.5,13.083333333333334,25.583333333333336,1,1,2,Qatar Airways,IndiGo,Fly Sharp
274,2023-08-06 1819,2023-10-01,2023-10-16,15,13542-2310012145--32348-1-10957-2310021445|10957-2310161100--32348-1-13542-2310161945,662.212,12.5,13.25,25.75,1,1,2,Emirates,Emirates,Lycafly
276,2023-08-06 1819,2023-10-01,2023-10-16,15,13542-2310012145--32348-1-10957-2310021445|10957-2310162150--32348-1-13542-2310170720,662.212,12.5,14.0,26.5,1,1,2,Emirates,Emirates,Lycafly
253,2023-08-06 1819,2023-10-01,2023-10-16,15,13542-2310010900--31939-1-10957-2310020200|10957-2310160250--32090-1-13542-2310161700,648.756,12.5,18.666666666666668,31.166666666666668,1,1,2,Qatar Airways,IndiGo,Opodo
254,2023-08-06 1819,2023-10-01,2023-10-16,15,13542-2310010900--31939-1-10957-2310020200|10957-2310161035--31939-1-13542-2310170645,559.5,12.5,24.666666666666668,37.16666666666667,1,1,2,Qatar Airways,IndiGo,Trip.com
255,2023-08-06 1819,2023-10-01,2023-10-16,15,13542-2310010900--31939-1-10957-2310020200|10957-2310161935--32672-1-13542-2310171815,981.1,12.5,27.166666666666668,39.66666666666667,1,1,2,Qatar Airways,IndiGo,Trip.com
36,2023-08-06 1819,2023-10-01,2023-10-16,15,"13542-2310010900--31939-1-9601-2310020205|9601-2310160915--31826,-32348-1-13542-2310161945",1862.798,12.583333333333334,15.0,27.583333333333336,1,1,2,Qatar Airways,Qatar Airways,Booking.com
257,2023-08-06 1819,2023-10-01,2023-10-16,15,13542-2310011005--32348-1-10957-2310020310|10957-2310161935--32672-1-13542-2310171815,1099.1,12.583333333333334,27.166666666666668,39.75,1,1,2,Emirates,flydubai,Trip.com
33,2023-08-06 1819,2023-10-01,2023-10-16,15,13542-2310010900--31939-1-9601-2310020205|9601-2310160335--31939-1-13542-2310170620,972.394,12.583333333333334,31.25,43.833333333333336,1,1,2,Qatar Airways,Qatar Airways,travelup
271,2023-08-06 1819,2023-10-01,2023-10-16,15,13542-2310012000--32672-1-10957-2310021330|10957-2310160455--32672-1-13542-2310161755,674.27,13.0,17.5,30.5,1,1,2,Air India,Air India,Fly Sharp
272,2023-08-06 1819,2023-10-01,2023-10-16,15,13542-2310012000--32672-1-10957-2310021330|10957-2310161935--32672-1-13542-2310171815,1102.7,13.0,27.166666666666668,40.16666666666667,1,1,2,Air India,Air India,Trip.com
154,2023-08-06 1819,2023-10-01,2023-10-16,15,"13542-2310011435--32348,-31826-1-9601-2310020815|9601-2310160915--31826,-32348-1-13542-2310161945",1810.186,13.166666666666666,15.0,28.166666666666664,1,1,2,Emirates,SpiceJet,travelup
258,2023-08-06 1819,2023-10-01,2023-10-16,15,13542-2310011055--31734-1-10957-2310020440|10957-2310160620--31734-1-13542-2310161610,726.57,13.25,14.333333333333334,27.583333333333336,1,1,2,Turkish Airlines,Turkish Airlines,Fly Sharp
263,2023-08-06 1819,2023-10-01,2023-10-16,15,13542-2310011435--32348-1-10957-2310020905|10957-2310160415--32348-1-13542-2310161235,662.212,14.0,12.833333333333334,26.833333333333336,1,1,2,Emirates,Emirates,Lycafly
264,2023-08-06 1819,2023-10-01,2023-10-16,15,13542-2310011435--32348-1-10957-2310020905|10957-2310161100--32348-1-13542-2310161945,662.212,14.0,13.25,27.25,1,1,2,Emirates,Emirates,Lycafly
265,2023-08-06 1819,2023-10-01,2023-10-16,15,13542-2310011435--32348-1-10957-2310020905|10957-2310162150--32348-1-13542-2310170720,662.212,14.0,14.0,28.0,1,1,2,Emirates,Emirates,Lycafly
261,2023-08-06 1819,2023-10-01,2023-10-16,15,13542-2310011405--31939-1-10957-2310020845|10957-2310162210--31939-1-13542-2310170645,685.27,14.166666666666666,13.083333333333334,27.25,1,1,2,British Airways,Qatar Airways,Fly Sharp
259,2023-08-06 1819,2023-10-01,2023-10-16,15,13542-2310011405--31939-1-10957-2310020845|10957-2310160250--32090-1-13542-2310161700,721.186,14.166666666666666,18.666666666666668,32.833333333333336,1,1,2,British Airways,Qatar Airways,eDreams
260,2023-08-06 1819,2023-10-01,2023-10-16,15,13542-2310011405--31939-1-10957-2310020845|10957-2310161035--31939-1-13542-2310170645,625.47,14.166666666666666,24.666666666666668,38.833333333333336,1,1,2,British Airways,Qatar Airways,Carlton Leisure
266,2023-08-06 1819,2023-10-01,2023-10-16,15,13542-2310011455--31896-1-10957-2310020945|10957-2310160250--32090-1-13542-2310161700,643.534,14.333333333333334,18.666666666666668,33.0,1,1,2,Saudia,Saudia,Opodo
267,2023-08-06 1819,2023-10-01,2023-10-16,15,13542-2310011455--31896-1-10957-2310020945|10957-2310162000--31896-1-13542-2310171330,477.3,14.333333333333334,22.0,36.333333333333336,1,1,2,Saudia,Saudia,Trip.com
